dest_ip,protocol,port,size,priority
182.43.164.191,6,443,242,8
116.107.93.200,17,22625,811,5
109.198.227.89,6,62448,509,5
134.122.92.111,17,44567,1105,5
2001:4450:47a9:9e00:4892:4c68:3996:3b4d,17,52651,193,5
113.179.54.215,17,53,925,9
198.244.168.104,17,53,1331,9
103.176.79.117,6,40145,840,5
102.129.55.41,17,27629,189,5
198.244.183.187,6,80,838,8
157.55.39.59,17,38517,1238,5
198.244.240.89,17,56568,656,5
185.47.136.114,6,443,73,8
106.12.120.171,17,53,1456,9
15.235.96.156,17,20472,1307,5
14.103.114.227,6,11203,944,5
103.215.83.136,6,80,1022,8
197.219.208.38,17,47436,623,5
177.129.165.102,6,80,266,8
198.244.242.163,6,443,332,8
185.247.137.20,6,53056,1273,5
157.255.35.236,17,53,1115,9
104.152.52.215,6,443,1461,8
130.255.89.13,6,17891,972,5
2.57.122.103,6,80,733,8
128.1.163.95,6,80,425,8
110.25.109.49,17,48782,1209,5
219.159.57.4,17,53,485,9
142.44.228.247,6,80,271,8
2.57.122.197,6,80,488,8
148.113.128.88,17,53,509,9
168.100.149.201,17,48987,477,5
125.23.140.54,17,5312,1490,5
113.116.105.87,17,40702,1443,5
190.89.137.97,6,25974,535,5
152.32.250.188,6,18141,977,5
176.103.5.206,6,58147,597,5
164.92.177.176,6,80,1372,8
139.5.156.254,6,80,284,8
182.227.214.33,17,36709,1234,5
171.99.154.254,6,443,365,8
158.158.43.82,6,443,1168,8
113.116.59.106,6,443,1384,8
14.103.59.224,17,53,1192,9
197.44.15.210,6,80,1113,8
183.82.32.104,17,53,306,9
122.192.42.195,17,46026,268,5
194.60.212.126,6,443,424,8
198.244.168.119,17,40143,1303,5
1.234.27.159,6,80,683,8
197.199.224.52,17,53,920,9
154.221.28.214,17,53,508,9
14.49.161.116,17,53,520,9
153.99.92.247,17,53,659,9
102.64.42.226,17,53,269,9
113.67.10.169,17,21911,622,5
202.8.41.173,6,80,1460,8
125.23.203.114,6,443,1432,8
163.7.8.88,6,443,224,8
197.221.232.44,6,443,595,8
167.114.139.81,17,53,1304,9
203.192.232.180,17,53753,223,5
104.221.65.7,6,80,1146,8
198.244.242.111,17,44477,1471,5
111.160.133.62,17,30584,351,5
198.244.242.146,17,53,352,9
103.249.84.242,6,80,1199,8
118.34.167.63,17,53,464,9
137.184.20.90,6,443,280,8
125.31.2.160,17,37196,1359,5
211.196.31.2,17,53,1476,9
167.114.139.37,17,33228,593,5
198.244.240.230,6,58925,303,5
177.229.197.38,6,443,769,8
172.191.157.64,6,30715,749,5
185.246.130.20,17,18095,864,5
130.185.96.125,6,443,668,8
142.44.233.17,6,443,620,8
198.199.108.15,6,80,1018,8
121.131.220.156,6,32269,752,5
186.23.238.60,17,53,920,9
12.202.15.69,6,443,246,8
176.103.3.26,17,53,1415,9
103.191.92.72,6,443,867,8
138.197.116.38,6,443,179,8
198.244.226.56,6,443,1387,8
104.41.143.27,17,53,1134,9
1.215.233.74,6,80,494,8
103.148.28.235,6,443,939,8
182.95.232.66,17,59615,696,5
191.210.73.33,6,36136,1496,5
142.44.225.215,17,8106,1306,5
186.116.49.0,17,31572,902,5
142.44.225.100,6,443,1112,8
187.120.96.144,17,44115,1242,5
14.103.64.39,6,80,1389,8
20.91.192.61,17,53,1481,9
15.235.98.24,17,53,893,9
14.103.142.184,6,443,262,8
104.152.52.219,6,443,301,8
192.253.209.148,17,53,498,9
156.146.41.13,17,22836,774,5
168.100.149.87,6,443,820,8
175.12.108.55,6,443,1227,8
117.57.205.36,17,44102,327,5
112.162.18.150,17,16455,189,5
20.48.232.178,17,35136,747,5
103.218.242.31,17,19158,312,5
102.64.46.96,17,46952,1326,5
122.225.203.106,17,6604,703,5
101.99.47.147,6,80,209,8
125.23.237.58,17,53,131,9
120.48.86.59,17,53,861,9
198.244.242.20,6,80,356,8
103.226.139.139,17,53,131,9
134.209.157.174,17,53,821,9
112.31.109.13,6,46360,1057,5
209.87.169.103,17,52815,104,5
111.70.9.87,6,443,1009,8
180.184.183.66,17,53,538,9
15.235.98.253,6,52755,1413,5
181.192.106.246,17,40847,1064,5
131.186.50.157,17,53,1384,9
159.223.202.204,6,443,873,8
164.92.111.253,17,64345,265,5
185.6.2.126,17,53,411,9
178.216.29.18,6,80,899,8
102.64.37.191,6,443,149,8
198.244.240.61,17,53,192,9
185.180.141.50,17,53,377,9
112.184.13.136,6,80,1267,8
162.221.187.154,6,6793,1497,5
142.44.228.215,6,443,72,8
111.70.32.2,6,443,792,8
103.164.9.74,6,80,255,8
104.152.52.218,17,53,1445,9
198.244.183.205,17,53,1235,9
182.95.52.122,6,25281,723,5
20.216.179.254,6,80,1096,8
142.44.220.249,6,443,121,8
212.30.33.218,17,61006,1076,5
151.0.82.239,17,53,663,9
15.235.98.159,17,53,1178,9
121.131.220.157,17,53,846,9
171.231.182.189,6,80,567,8
20.49.0.100,17,57811,912,5
185.225.202.149,17,53,150,9
118.26.36.248,6,37819,473,5
103.92.218.158,6,443,667,8
213.230.65.53,6,80,304,8
186.5.178.229,17,27604,1419,5
154.198.162.75,17,49476,602,5
15.235.98.67,6,80,1372,8
148.113.130.149,6,20072,307,5
111.70.17.159,17,49473,1344,5
103.168.135.187,6,80,1471,8
2.196.202.17,6,47467,1355,5
1.54.116.72,6,47131,993,5
218.149.228.148,6,443,375,8
212.89.15.132,6,443,1152,8
198.244.242.172,6,80,848,8
171.242.64.183,6,44615,449,5
187.120.36.118,6,5416,1145,5
160.242.45.113,17,53,1364,9
148.113.128.2,6,443,1418,8
115.68.208.117,6,443,188,8
104.12.19.114,6,16460,1173,5
102.206.156.62,6,38850,1456,5
209.121.109.124,17,51509,1447,5
112.53.70.99,6,44941,792,5
167.114.139.62,17,21763,555,5
196.188.187.85,17,53,617,9
103.39.213.131,6,40720,1406,5
212.30.33.186,6,80,988,8
106.13.44.253,6,443,573,8
192.141.249.184,17,53,98,9
140.249.23.18,6,80,601,8
198.244.183.67,6,80,208,8
148.113.130.12,17,41855,218,5
171.231.195.148,17,53,1307,9
180.76.243.197,6,443,112,8
103.76.120.139,6,443,811,8
167.172.97.25,17,53,834,9
15.235.98.211,6,443,546,8
14.248.82.58,6,80,1048,8
114.129.30.132,6,80,1128,8
193.106.245.20,6,443,719,8
14.128.12.10,6,20389,1170,5
14.103.118.177,6,46391,678,5
218.152.220.249,17,53,1325,9
185.77.50.147,6,80,1205,8
103.142.108.220,17,48508,742,5
121.128.199.222,6,80,67,8
142.44.228.56,6,46857,1482,5
144.79.187.18,17,20864,695,5
121.128.84.224,17,53,353,9
117.62.22.127,6,443,180,8
216.24.210.97,17,53,1479,9
152.52.227.106,17,53,450,9
103.18.166.32,6,80,1398,8
111.61.177.187,17,53,1324,9
176.31.139.0,6,80,578,8
172.171.233.230,6,443,117,8
198.244.226.82,6,80,1479,8
188.168.12.14,17,53,170,9
172.173.200.62,6,443,332,8
136.107.19.111,6,80,371,8
15.235.98.178,17,53,763,9
200.216.154.254,17,53,795,9
2.57.122.208,6,80,503,8
117.72.26.45,17,53,178,9
150.95.112.57,17,28965,1405,5
18.205.231.47,6,80,111,8
14.241.100.20,6,80,275,8
15.235.27.84,17,53,958,9
142.44.225.189,6,80,400,8
220.80.219.163,17,53,392,9
175.118.127.138,6,15054,684,5
148.113.128.112,17,48015,775,5
185.16.214.226,6,443,816,8
118.196.26.161,17,27091,390,5
148.113.128.141,6,443,414,8
180.76.143.27,17,3178,1258,5
103.251.31.166,17,5944,675,5
140.174.122.99,17,53,490,9
102.88.137.80,17,53,465,9
148.227.90.132,17,60472,423,5
154.16.49.87,17,62312,662,5
15.235.27.218,17,60645,702,5
211.57.78.222,17,53,1259,9
172.83.83.216,17,22209,1450,5
165.227.119.154,17,53,73,9
111.35.36.48,17,53,897,9
106.58.166.77,17,4448,875,5
186.189.101.225,17,51755,1254,5
112.93.118.55,17,57667,754,5
187.120.92.88,6,80,1263,8
184.93.103.82,6,80,345,8
115.190.206.146,17,53,998,9
198.244.240.22,6,80,403,8
180.168.119.2,17,53,1314,9
142.44.225.42,17,4063,1181,5
217.26.178.152,6,20645,1474,5
20.215.212.42,17,53,77,9
217.93.149.10,17,53,439,9
221.145.27.158,17,53,669,9
217.81.29.136,6,443,1015,8
111.38.221.138,17,53,1353,9
159.224.140.227,6,80,1322,8
198.244.242.182,6,80,421,8
125.36.68.227,6,80,523,8
103.190.91.99,6,80,1440,8
185.177.72.52,17,53,846,9
14.29.204.161,6,25798,562,5
203.83.231.93,17,7310,665,5
140.249.23.134,17,53,1029,9
192.222.193.230,6,80,263,8
128.185.214.78,6,443,737,8
121.73.163.168,17,53,1211,9
198.244.242.201,6,36818,705,5
143.110.177.252,6,57757,528,5
198.244.226.193,17,44327,664,5
165.245.167.106,6,443,775,8
192.253.209.78,6,61464,1385,5
177.11.196.84,17,53,1190,9
178.128.113.182,17,22106,226,5
106.12.219.148,6,38467,1483,5
142.44.225.109,6,80,247,8
2003:f6:4f0a:2e9e:2c50:7d4f:7250:3445,17,50442,1241,5
111.4.78.74,17,53,193,9
153.37.177.219,6,80,1307,8
185.177.72.143,17,53,931,9
157.20.254.47,6,443,1313,8
198.244.240.186,6,4549,708,5
180.94.75.114,6,80,723,8
152.42.181.237,17,7708,1330,5
202.134.19.62,17,64079,615,5
122.186.202.26,6,80,805,8
2.57.122.199,17,53,1128,9
177.128.252.63,6,80,1441,8
142.44.220.52,17,53,622,9
121.131.220.137,6,80,677,8
217.149.191.246,6,80,1106,8
170.106.119.128,17,58460,1116,5
148.113.128.58,6,443,897,8
154.204.183.232,17,53,137,9
163.177.220.30,17,12431,728,5
147.45.126.91,17,53,828,9
198.244.168.169,17,53,311,9
112.79.12.22,6,443,1001,8
121.66.124.148,17,50774,1018,5
142.44.220.13,6,57048,970,5
111.26.100.99,17,2965,1460,5
165.154.6.116,17,53,1437,9
20.221.12.191,17,8412,496,5
173.239.218.30,17,12285,1173,5
142.44.220.112,17,37501,483,5
211.104.166.110,17,21547,801,5
140.228.24.183,17,11517,1056,5
129.222.147.66,17,46451,902,5
182.95.58.114,6,28277,1290,5
118.26.37.217,6,26495,1217,5
103.152.100.77,17,29529,106,5
148.113.128.122,6,443,318,8
177.130.170.194,6,80,525,8
181.191.128.18,17,44148,345,5
101.99.89.137,6,51015,594,5
131.186.22.215,17,47454,849,5
124.133.10.66,6,80,1025,8
197.243.0.62,6,40404,599,5
186.64.71.35,6,443,1364,8
148.113.130.159,17,53,1040,9
191.53.113.107,17,34572,1487,5
104.152.52.109,17,6596,561,5
117.80.226.93,17,35675,1083,5
110.14.190.217,6,80,1120,8
186.96.199.57,6,443,1420,8
20.107.195.165,6,80,536,8
125.76.228.194,6,41007,731,5
121.186.151.123,6,80,256,8
142.44.225.157,17,53,628,9
192.3.90.20,6,443,969,8
167.94.146.61,6,443,265,8
183.182.99.92,6,443,1057,8
114.67.249.7,17,53,1108,9
142.44.228.98,17,41412,1386,5
190.115.64.92,6,48514,204,5
218.108.143.34,6,443,416,8
148.113.128.44,6,55454,1103,5
15.235.27.214,6,80,174,8
14.103.127.233,17,53,665,9
178.251.140.3,6,8378,1300,5
198.244.168.113,17,58483,1214,5
213.176.18.65,6,443,587,8
103.189.234.57,17,53,134,9
125.17.233.246,17,44842,761,5
149.54.62.22,6,80,1358,8
142.44.220.136,6,443,400,8
110.239.65.57,6,80,263,8
198.244.183.197,17,53,318,9
206.189.129.232,6,52487,259,5
102.54.243.199,6,443,1448,8
179.127.65.143,17,53,135,9
198.244.168.147,6,60496,185,5
202.152.201.166,17,32022,1239,5
20.250.34.71,6,80,1372,8
12.163.139.34,6,443,520,8
102.64.46.111,6,35139,299,5
183.91.11.36,6,443,398,8
180.167.207.234,6,80,1350,8
183.62.127.90,17,41210,1474,5
115.245.172.214,17,37267,817,5
212.30.33.174,17,53,230,9
198.244.183.237,6,443,989,8
144.31.70.125,6,443,918,8
149.54.15.162,6,80,344,8
212.116.247.31,6,18576,84,5
167.114.139.253,17,44043,837,5
107.150.110.167,17,53,1367,9
198.244.168.234,17,14988,860,5
102.64.36.58,6,9404,302,5
119.152.243.165,6,22827,153,5
198.244.226.42,6,80,618,8
198.244.168.73,17,25729,1173,5
177.8.251.103,17,53,335,9
142.44.233.162,6,35537,648,5
113.189.226.10,17,53,1433,9
198.244.183.218,17,29805,352,5
198.244.168.253,17,53,364,9
150.136.62.9,6,80,577,8
138.186.196.83,17,45515,284,5
136.107.72.118,17,28019,536,5
112.164.211.228,17,62714,602,5
120.48.20.189,17,53,644,9
180.76.238.59,17,53,925,9
122.185.248.122,17,53,1122,9
202.51.214.98,6,49471,715,5
14.225.3.79,6,80,1111,8
180.76.175.142,17,53,715,9
112.164.195.219,6,41025,533,5
198.244.240.203,6,80,232,8
117.141.79.159,17,20274,381,5
117.247.239.202,6,80,1284,8
168.0.226.130,6,80,958,8
117.50.70.169,17,53,1143,9
172.86.127.236,6,443,1062,8
116.177.173.185,17,53,335,9
121.182.227.240,17,24751,578,5
168.107.10.59,6,80,300,8
142.44.220.255,6,64639,67,5
196.117.172.217,6,45418,495,5
177.87.166.220,17,13216,653,5
101.126.64.76,17,53,534,9
148.113.128.1,17,3879,974,5
109.226.27.227,17,40293,1053,5
184.151.88.27,17,53,1041,9
198.244.183.123,6,4429,943,5
160.251.197.41,6,80,1284,8
198.244.242.67,17,14769,527,5
117.50.152.101,17,53,65,9
190.5.21.234,17,13422,1375,5
162.243.253.236,17,53,1461,9
186.224.121.117,6,62902,527,5
167.61.144.25,6,35590,1300,5
212.47.75.255,17,51547,820,5
142.44.225.48,6,37512,1135,5
198.244.242.229,17,37981,1475,5
138.124.113.30,6,443,268,8
190.226.33.166,17,53,309,9
120.233.73.156,17,47605,1211,5
117.205.3.26,6,80,1379,8
145.224.83.125,6,443,452,8
124.117.192.42,6,443,1268,8
180.76.145.111,17,53,696,9
15.235.27.48,6,80,1218,8
165.245.168.56,17,51398,1284,5
140.249.22.89,17,53,89,9
157.245.125.199,17,53,1221,9
20.238.36.81,6,80,367,8
101.126.18.30,17,55284,1347,5
15.235.27.15,6,41191,1385,5
181.118.183.176,6,443,1005,8
14.103.127.235,6,80,458,8
152.32.226.88,6,80,1390,8
182.95.152.194,6,80,1120,8
198.244.226.133,17,12211,690,5
163.177.76.18,17,53,553,9
122.176.156.82,6,8811,341,5
198.244.168.96,6,11969,813,5
178.128.227.74,17,36393,1268,5
219.248.4.146,17,6143,166,5
195.64.244.119,6,80,292,8
198.244.242.62,6,443,397,8
121.73.163.92,17,53,1340,9
182.95.181.26,17,53,140,9
128.185.201.138,17,53,1257,9
211.20.14.156,6,443,1170,8
213.35.115.4,6,80,1222,8
20.240.45.211,17,53,1244,9
168.100.149.97,17,53,894,9
123.209.117.90,17,4716,282,5
114.98.63.18,6,80,629,8
111.59.206.224,17,50269,358,5
198.244.168.56,17,53,185,9
118.99.102.162,6,443,322,8
103.172.205.208,6,80,345,8
182.95.61.82,17,25134,252,5
142.44.220.150,6,2291,505,5
188.149.126.62,17,50202,1164,5
125.35.109.214,17,53,703,9
183.165.245.50,6,443,1036,8
102.165.48.93,6,443,987,8
213.177.179.80,6,36858,615,5
200.8.228.57,17,57763,859,5
182.95.45.2,6,61702,425,5
120.48.42.17,6,80,223,8
142.44.225.187,6,80,460,8
142.44.220.157,17,22664,295,5
207.154.254.44,6,80,1423,8
182.43.76.81,6,14496,241,5
157.22.47.153,6,80,377,8
176.103.7.170,6,443,807,8
198.244.226.174,6,443,994,8
135.225.39.230,17,62148,421,5
198.244.240.59,17,53,376,9
15.235.96.81,6,80,869,8
167.114.139.65,17,50532,1441,5
148.113.128.132,17,53,519,9
172.214.209.153,6,443,252,8
139.59.91.107,17,53,1282,9
198.244.183.250,6,80,756,8
185.255.212.4,6,443,641,8
112.30.72.108,6,14394,967,5
198.244.240.6,6,17777,958,5
213.177.179.26,17,53,850,9
113.44.136.161,6,80,1493,8
122.187.234.73,17,53,1073,9
185.255.215.96,17,39561,88,5
147.182.186.111,17,50281,750,5
108.181.223.63,6,20307,413,5
173.25.186.130,6,443,938,8
152.32.163.183,17,10678,814,5
185.223.152.221,17,35915,171,5
210.22.90.58,17,53,1051,9
169.239.182.214,6,443,1405,8
175.205.18.22,17,53,1388,9
180.252.145.84,6,80,1111,8
139.180.132.123,17,15580,205,5
117.36.231.242,6,443,315,8
124.246.68.167,17,53,766,9
142.44.225.23,6,38127,1298,5
129.213.146.221,17,53,252,9
217.26.179.86,6,42913,1460,5
120.48.7.181,17,53,439,9
157.245.66.87,17,53,775,9
122.187.240.209,6,443,598,8
144.31.186.180,6,31518,1315,5
218.78.104.226,6,28279,1186,5
147.182.150.93,6,443,1112,8
185.214.138.88,6,80,820,8
182.95.174.18,17,43287,523,5
198.244.183.20,17,53,602,9
156.245.248.226,17,53,1319,9
165.227.159.118,17,51614,1053,5
103.210.21.178,17,53,662,9
20.203.245.233,6,443,1391,8
115.190.34.136,6,56607,685,5
20.123.0.113,6,443,407,8
198.244.226.229,17,53,1118,9
14.139.107.146,17,33447,1440,5
181.23.114.57,17,53,1482,9
194.5.82.147,17,43024,946,5
142.44.220.92,17,51025,714,5
103.166.182.35,6,80,1111,8
218.157.130.83,6,80,75,8
110.25.109.69,17,35262,1445,5
115.71.236.253,17,53,284,9
135.148.120.46,6,443,389,8
198.244.168.232,17,53,209,9
154.127.42.7,6,443,414,8
186.22.94.34,6,443,280,8
193.37.32.214,6,48462,364,5
220.172.203.43,17,43008,853,5
113.250.188.218,6,80,1209,8
103.31.111.22,17,53,177,9
148.113.128.95,17,53,434,9
218.149.235.152,6,443,567,8
207.249.96.38,17,53,1464,9
113.142.60.99,6,80,702,8
185.246.128.171,17,53,285,9
167.114.139.241,17,53,1219,9
211.22.161.166,17,53,181,9
1.92.98.240,6,443,735,8
142.44.233.27,6,443,518,8
198.244.226.152,6,51619,1137,5
116.232.19.229,17,53,251,9
198.244.242.217,17,53,452,9
198.244.240.58,6,63257,1056,5
111.70.33.170,6,443,271,8
221.120.201.11,17,53,1003,9
103.63.25.203,6,443,1039,8
109.123.249.129,6,443,1368,8
198.244.183.25,6,53581,1233,5
142.44.228.206,6,443,1312,8
167.114.139.225,6,443,911,8
182.78.73.94,6,80,97,8
175.170.144.17,17,60799,1398,5
142.44.228.134,17,53,169,9
217.241.255.254,6,443,1010,8
14.18.113.233,6,80,505,8
213.230.124.17,6,443,1447,8
103.113.213.93,17,53,210,9
15.235.96.7,6,443,70,8
198.244.168.201,17,54158,993,5
190.236.82.125,6,80,191,8
198.244.168.131,6,80,370,8
128.1.131.163,6,80,303,8
198.244.168.246,6,37698,510,5
115.190.12.52,6,80,137,8
101.47.163.225,6,55565,220,5
1.55.109.129,6,38136,465,5
167.114.139.109,17,8357,74,5
119.97.189.108,17,29621,1325,5
177.130.171.193,17,3623,289,5
190.19.5.189,17,6224,231,5
125.19.160.206,17,53,431,9
109.105.210.63,6,24800,293,5
205.210.31.30,17,53,340,9
198.244.226.158,17,26330,312,5
149.102.225.184,17,53,286,9
158.158.40.43,6,32788,104,5
198.244.226.48,6,17616,681,5
112.201.205.210,17,53,137,9
216.132.188.177,6,61549,384,5
191.53.19.44,6,44498,354,5
216.108.236.45,17,18284,1367,5
122.187.230.104,6,80,1019,8
142.44.233.92,17,64652,737,5
201.71.40.44,6,12206,666,5
185.223.152.214,6,43677,347,5
15.235.96.107,17,53,831,9
176.103.1.60,6,80,1414,8
171.244.40.3,17,19864,1094,5
109.91.157.113,17,53,319,9
172.105.69.26,6,80,380,8
148.113.130.138,6,443,1477,8
139.99.133.77,6,443,1369,8
172.70.248.161,6,80,280,8
112.184.12.214,17,53,1010,9
171.244.37.96,17,53,406,9
101.89.110.57,6,443,1065,8
182.66.214.34,6,443,463,8
117.50.196.2,6,80,676,8
109.206.97.24,17,53,1493,9
116.53.130.4,17,53,983,9
178.219.102.207,17,53,838,9
158.160.228.40,6,443,1310,8
211.107.194.229,17,21463,1313,5
112.27.129.78,6,42799,149,5
186.190.167.210,17,33317,315,5
14.103.115.5,17,53,1283,9
20.102.98.235,17,55448,720,5
176.103.6.165,17,60615,897,5
185.15.170.144,17,53,305,9
167.114.139.90,6,443,1360,8
120.48.115.122,17,53,468,9
15.235.96.82,17,53,1092,9
185.110.190.44,6,443,421,8
194.169.225.83,17,10593,419,5
182.95.230.158,17,28958,720,5
103.148.206.98,17,36039,1357,5
172.71.148.97,17,53,688,9
198.244.183.53,17,46151,689,5
101.96.195.199,17,43467,184,5
103.148.79.138,6,2994,121,5
106.13.64.124,6,443,678,8
198.244.168.94,6,443,732,8
142.44.233.130,17,53,476,9
200.118.150.20,6,15119,343,5
107.135.117.245,6,80,745,8
184.57.39.170,6,80,857,8
120.239.154.96,17,11635,335,5
200.222.71.218,17,51510,1055,5
202.8.43.16,17,53,1363,9
182.95.184.110,6,443,516,8
2.55.69.224,6,80,540,8
183.230.141.155,17,5822,1316,5
218.219.193.151,6,45063,999,5
198.244.183.211,17,7531,700,5
190.5.21.100,6,80,225,8
171.100.121.127,17,35648,285,5
121.189.198.60,17,14908,205,5
198.244.242.130,17,53,623,9
201.186.40.250,6,443,295,8
198.244.240.92,17,58387,893,5
142.44.225.20,17,53,195,9
104.236.141.35,17,53,1293,9
198.244.240.190,17,24898,110,5
198.244.242.167,17,54781,1304,5
172.174.72.225,6,80,823,8
172.94.9.40,6,80,1300,8
185.247.137.109,6,80,1383,8
104.248.240.171,17,53,94,9
148.113.130.255,6,80,1063,8
20.203.215.185,6,80,92,8
210.105.93.136,17,53,1222,9
186.31.95.163,17,53,1381,9
182.78.241.30,17,37305,81,5
15.235.27.92,6,443,468,8
116.110.10.233,6,54098,975,5
139.59.5.68,17,46569,1377,5
142.44.220.27,6,80,568,8
198.244.240.158,6,31091,759,5
111.70.51.23,6,33984,1038,5
103.119.94.10,6,80,609,8
15.235.98.38,6,443,661,8
182.95.103.198,6,443,126,8
116.193.191.209,17,53505,590,5
208.75.123.197,17,19458,471,5
198.244.168.14,6,48721,1100,5
118.194.234.8,6,443,679,8
1.247.245.61,6,443,1282,8
101.32.145.199,17,58176,168,5
103.67.80.61,17,44057,1035,5
106.119.154.53,17,53,1259,9
198.244.168.206,17,53,752,9
148.113.130.197,6,63194,1271,5
111.52.249.29,17,11636,1398,5
198.244.242.59,17,53,1307,9
15.235.27.150,17,37452,1271,5
177.8.251.31,6,80,653,8
177.7.30.146,17,53,668,9
120.48.122.158,6,62480,636,5
167.94.146.51,6,80,83,8
118.145.246.225,6,80,1275,8
182.204.177.184,17,53,1033,9
122.52.211.184,17,53466,636,5
186.64.95.234,17,53,1392,9
144.48.10.84,6,29871,1333,5
20.244.18.126,17,53,326,9
104.152.52.132,17,56702,504,5
113.116.57.185,6,443,558,8
192.3.105.189,6,80,1439,8
122.187.229.235,6,443,783,8
182.78.107.6,6,443,1413,8
198.244.226.175,6,25222,883,5
142.44.225.78,6,443,1062,8
219.248.65.30,6,80,798,8
103.88.76.27,6,80,1151,8
103.144.146.137,17,9085,516,5
101.126.83.70,6,8689,192,5
219.151.191.44,17,53,1068,9
198.244.183.198,6,443,811,8
128.185.253.98,6,443,666,8
201.16.238.49,6,80,241,8
212.28.179.182,17,53,696,9
165.232.104.79,17,53,1078,9
121.176.27.115,17,53,204,9
103.82.24.197,6,80,1465,8
14.103.123.50,6,80,1490,8
219.92.11.49,6,60922,780,5
114.100.48.120,17,51569,420,5
186.39.95.214,17,53,1055,9
186.177.91.55,6,443,638,8
141.98.11.52,6,443,477,8
198.244.242.218,6,443,379,8
121.227.152.250,6,443,1326,8
14.22.81.14,6,28594,1417,5
197.219.228.246,17,11062,1429,5
142.44.225.247,17,53,274,9
213.230.87.233,17,53,1410,9
106.12.43.166,17,4113,1483,5
187.85.111.248,17,50086,788,5
103.175.207.96,6,25632,1325,5
198.244.226.171,6,443,1378,8
104.208.108.166,6,36840,706,5
142.44.225.145,17,38076,627,5
158.180.64.185,17,53,648,9
182.43.235.218,6,80,235,8
154.127.36.136,6,80,1369,8
178.128.117.33,17,53,122,9
113.44.182.88,6,443,320,8
185.242.3.33,6,443,869,8
198.244.168.64,6,50188,901,5
139.59.94.6,6,80,1466,8
190.89.136.231,17,37059,730,5
102.53.15.56,6,80,1413,8
180.249.125.86,6,443,789,8
148.113.128.251,17,53,1487,9
193.233.253.17,6,49171,556,5
106.12.42.9,17,53,1436,9
190.89.137.100,17,45694,722,5
142.44.228.74,17,53,471,9
182.204.183.233,6,80,1386,8
185.107.80.93,17,54427,1447,5
216.180.127.201,17,31752,659,5
125.19.220.30,6,443,665,8
176.31.139.17,17,50062,773,5
15.235.96.121,6,443,262,8
182.78.240.94,17,53,422,9
190.223.36.108,17,53,560,9
117.50.152.237,17,53,744,9
131.255.183.119,17,31388,1472,5
15.235.27.249,17,53,178,9
168.100.149.235,17,13268,753,5
178.178.222.50,6,443,845,8
185.15.82.135,17,53,855,9
207.231.109.54,17,53,803,9
119.96.81.99,6,443,160,8
148.113.128.224,17,27877,826,5
137.119.231.177,17,49209,492,5
14.195.106.51,6,443,585,8
198.244.168.254,17,53,283,9
198.244.242.113,17,53,1441,9
164.90.138.136,17,53,596,9
182.95.42.90,6,443,1129,8
101.13.5.50,17,14809,715,5
111.70.32.192,17,53,74,9
149.54.51.162,6,443,1469,8
146.70.194.222,6,80,1115,8
187.120.19.216,17,53,1358,9
112.184.21.155,6,443,1193,8
183.36.126.68,6,443,1450,8
213.124.221.2,6,443,1223,8
220.246.42.222,6,443,1243,8
119.116.125.86,6,443,280,8
129.159.239.139,17,9450,261,5
122.118.206.121,17,53,263,9
103.154.77.48,6,443,805,8
149.54.62.58,17,53,80,9
221.10.10.20,6,443,1128,8
15.235.98.80,17,45829,718,5
14.103.64.177,6,80,332,8
198.244.226.12,17,6693,747,5
118.194.251.75,6,443,1322,8
200.107.163.195,6,80,283,8
185.74.240.228,17,23109,228,5
142.44.233.13,17,14191,223,5
154.236.187.90,6,80,1322,8
142.44.233.193,17,38337,567,5
171.244.61.82,6,80,345,8
148.113.130.4,17,28989,437,5
142.44.233.175,17,53,569,9
198.244.226.228,17,53,821,9
106.246.89.69,6,80,1126,8
190.89.136.192,6,80,932,8
101.47.159.50,17,53,503,9
104.157.40.219,6,443,1024,8
170.254.126.45,6,17528,1159,5
142.44.220.83,6,443,1159,8
103.103.245.7,6,62959,463,5
2.242.201.217,17,53,747,9
198.244.242.174,6,80,644,8
1.162.223.47,17,53,1033,9
196.188.63.205,17,28275,1363,5
198.244.226.237,17,53,681,9
165.154.6.34,17,53,709,9
187.120.104.126,17,36337,355,5
15.204.12.43,6,443,1064,8
152.39.222.82,6,443,1206,8
2.27.46.115,6,80,324,8
142.44.233.97,17,34454,1176,5
134.175.126.242,17,19341,145,5
14.103.112.179,17,53,197,9
211.196.83.100,17,53,699,9
117.32.132.170,17,53,1181,9
198.244.168.16,17,53,920,9
129.226.172.185,17,15385,1181,5
152.32.185.214,17,20236,1045,5
190.57.233.133,17,53,694,9
198.244.226.97,6,80,552,8
176.103.6.174,6,80,242,8
167.114.139.191,6,443,1003,8
142.44.233.36,6,443,1335,8
106.13.135.26,17,53,847,9
104.131.130.133,17,53,385,9
198.244.240.46,6,54632,1085,5
1.237.155.150,6,59479,1306,5
134.209.101.17,6,80,833,8
139.170.141.213,17,32939,994,5
122.187.230.181,17,53,258,9
196.202.46.229,6,59743,1464,5
15.235.27.78,17,53,1024,9
14.103.127.232,6,50956,293,5
198.244.168.59,6,4626,89,5
185.218.138.14,6,443,627,8
183.171.151.101,6,443,566,8
217.26.179.170,17,34522,439,5
111.125.107.85,17,8452,1058,5
198.244.242.204,6,443,340,8
187.120.104.29,6,80,1424,8
120.46.208.90,6,443,872,8
198.244.168.120,17,47051,800,5
